implementation,motif,vertices,edge_prob,seed,total_processes,nodes_used,processes_per_node,edges,raw_embeddings,automorphisms,instance_count,search_time_ms,total_wall_time_ms,status,logfile
pm2,triangle,250000,0.0011,42,1,1,1,34383861,20805666,6,3467611,658266.819,658266.819,OK,motifSearchRawLogsEdgefile/motif_edgefile_nodes1_ppn1_ranks1.log
pm2,triangle,250000,0.0011,42,2,1,2,34383861,20805666,6,3467611,334834.228,334834.228,OK,motifSearchRawLogsEdgefile/motif_edgefile_nodes1_ppn2_ranks2.log
pm2,triangle,250000,0.0011,42,4,1,4,34383861,20805666,6,3467611,168266.110,168266.110,OK,motifSearchRawLogsEdgefile/motif_edgefile_nodes1_ppn4_ranks4.log
pm2,triangle,250000,0.0011,42,6,1,6,34383861,20805666,6,3467611,145594.609,145594.609,OK,motifSearchRawLogsEdgefile/motif_edgefile_nodes1_ppn6_ranks6.log
pm2,triangle,250000,0.0011,42,2,2,1,34383861,20805666,6,3467611,328046.263,328046.263,OK,motifSearchRawLogsEdgefile/motif_edgefile_nodes2_ppn1_ranks2.log
pm2,triangle,250000,0.0011,42,4,2,2,34383861,20805666,6,3467611,165320.238,165320.238,OK,motifSearchRawLogsEdgefile/motif_edgefile_nodes2_ppn2_ranks4.log
pm2,triangle,250000,0.0011,42,8,2,4,34383861,20805666,6,3467611,84169.039,84169.039,OK,motifSearchRawLogsEdgefile/motif_edgefile_nodes2_ppn4_ranks8.log
pm2,triangle,250000,0.0011,42,12,2,6,34383861,20805666,6,3467611,73049.619,73049.619,OK,motifSearchRawLogsEdgefile/motif_edgefile_nodes2_ppn6_ranks12.log
pm2,triangle,250000,0.0011,42,4,4,1,34383861,20805666,6,3467611,165761.465,165761.465,OK,motifSearchRawLogsEdgefile/motif_edgefile_nodes4_ppn1_ranks4.log
pm2,triangle,250000,0.0011,42,8,4,2,34383861,20805666,6,3467611,83303.994,83303.994,OK,motifSearchRawLogsEdgefile/motif_edgefile_nodes4_ppn2_ranks8.log
pm2,triangle,250000,0.0011,42,16,4,4,34383861,20805666,6,3467611,59954.828,59954.828,OK,motifSearchRawLogsEdgefile/motif_edgefile_nodes4_ppn4_ranks16.log
pm2,triangle,250000,0.0011,42,24,4,6,34383861,20805666,6,3467611,48326.570,48326.570,OK,motifSearchRawLogsEdgefile/motif_edgefile_nodes4_ppn6_ranks24.log
pm2,triangle,250000,0.0011,42,8,8,1,34383861,20805666,6,3467611,83071.455,83071.455,OK,motifSearchRawLogsEdgefile/motif_edgefile_nodes8_ppn1_ranks8.log
pm2,triangle,250000,0.0011,42,16,8,2,34383861,20805666,6,3467611,53185.548,53185.548,OK,motifSearchRawLogsEdgefile/motif_edgefile_nodes8_ppn2_ranks16.log
pm2,triangle,250000,0.0011,42,32,8,4,34383861,20805666,6,3467611,49151.100,49151.100,OK,motifSearchRawLogsEdgefile/motif_edgefile_nodes8_ppn4_ranks32.log
pm2,triangle,250000,0.0011,42,48,8,6,34383861,20805666,6,3467611,49352.158,49352.158,OK,motifSearchRawLogsEdgefile/motif_edgefile_nodes8_ppn6_ranks48.log
pm2,triangle,250000,0.0011,42,16,16,1,34383861,20805666,6,3467611,82570.615,82570.615,OK,motifSearchRawLogsEdgefile/motif_edgefile_nodes16_ppn1_ranks16.log
pm2,triangle,250000,0.0011,42,32,16,2,34383861,20805666,6,3467611,45394.598,45394.598,OK,motifSearchRawLogsEdgefile/motif_edgefile_nodes16_ppn2_ranks32.log
pm2,triangle,250000,0.0011,42,64,16,4,34383861,20805666,6,3467611,47046.654,47046.654,OK,motifSearchRawLogsEdgefile/motif_edgefile_nodes16_ppn4_ranks64.log
pm2,triangle,0,0.0011,42,96,16,6,,,,,,,FAIL,motifSearchRawLogsEdgefile/motif_edgefile_nodes16_ppn6_ranks96.log
pm2,triangle,250000,0.0011,42,24,24,1,34383861,20805666,6,3467611,56181.995,56181.995,OK,motifSearchRawLogsEdgefile/motif_edgefile_nodes24_ppn1_ranks24.log
pm2,triangle,250000,0.0011,42,48,24,2,34383861,20805666,6,3467611,90666.171,90666.171,OK,motifSearchRawLogsEdgefile/motif_edgefile_nodes24_ppn2_ranks48.log
pm2,triangle,0,0.0011,42,96,24,4,,,,,,,FAIL,motifSearchRawLogsEdgefile/motif_edgefile_nodes24_ppn4_ranks96.log
pm2,triangle,0,0.0011,42,144,24,6,,,,,,,FAIL,motifSearchRawLogsEdgefile/motif_edgefile_nodes24_ppn6_ranks144.log
