scenario,height,width,agents,timesteps,nodes,ppn,ranks,runsCompleted,avgInitMs,avgWallTimeMs,avgTotalMs,finalLiveAgents,finalWealth,finalSugar,status,logfile
SugarScape10k10m,10000,10000,10000000,100,1,1,1,4,3397.500,257888.250,261286.000,4577881,358577186,163384497,OK,sugarscapeRawLogs_10k_10m/SugarScape10k10m_H10000_W10000_A10000000_T100_nodes1_ppn1_ranks1.log
SugarScape10k10m,10000,10000,10000000,100,1,2,2,4,3087.000,155951.500,159039.000,4577881,358577186,163384497,OK,sugarscapeRawLogs_10k_10m/SugarScape10k10m_H10000_W10000_A10000000_T100_nodes1_ppn2_ranks2.log
SugarScape10k10m,10000,10000,10000000,100,1,4,4,4,2915.500,90873.250,93789.500,4577881,358577186,163384497,OK,sugarscapeRawLogs_10k_10m/SugarScape10k10m_H10000_W10000_A10000000_T100_nodes1_ppn4_ranks4.log
SugarScape10k10m,10000,10000,10000000,100,1,6,6,4,4463.250,95808.000,100272.000,4577881,358577186,163384497,OK,sugarscapeRawLogs_10k_10m/SugarScape10k10m_H10000_W10000_A10000000_T100_nodes1_ppn6_ranks6.log
SugarScape10k10m,10000,10000,10000000,100,2,1,2,4,3057.250,139935.750,142994.000,4577881,358577186,163384497,OK,sugarscapeRawLogs_10k_10m/SugarScape10k10m_H10000_W10000_A10000000_T100_nodes2_ppn1_ranks2.log
SugarScape10k10m,10000,10000,10000000,100,2,2,4,4,2925.000,72909.250,75834.750,4577881,358577186,163384497,OK,sugarscapeRawLogs_10k_10m/SugarScape10k10m_H10000_W10000_A10000000_T100_nodes2_ppn2_ranks4.log
SugarScape10k10m,10000,10000,10000000,100,2,4,8,4,2965.000,46719.000,49684.750,4577881,358577186,163384497,OK,sugarscapeRawLogs_10k_10m/SugarScape10k10m_H10000_W10000_A10000000_T100_nodes2_ppn4_ranks8.log
SugarScape10k10m,10000,10000,10000000,100,2,6,12,4,4390.750,46720.000,51111.500,4577881,358577186,163384497,OK,sugarscapeRawLogs_10k_10m/SugarScape10k10m_H10000_W10000_A10000000_T100_nodes2_ppn6_ranks12.log
SugarScape10k10m,10000,10000,10000000,100,4,1,4,4,2933.750,72786.750,75721.000,4577881,358577186,163384497,OK,sugarscapeRawLogs_10k_10m/SugarScape10k10m_H10000_W10000_A10000000_T100_nodes4_ppn1_ranks4.log
SugarScape10k10m,10000,10000,10000000,100,4,2,8,4,2944.000,46928.000,49872.500,4577881,358577186,163384497,OK,sugarscapeRawLogs_10k_10m/SugarScape10k10m_H10000_W10000_A10000000_T100_nodes4_ppn2_ranks8.log
SugarScape10k10m,10000,10000,10000000,100,4,4,16,4,3236.500,41358.500,44595.500,4577881,358577186,163384497,OK,sugarscapeRawLogs_10k_10m/SugarScape10k10m_H10000_W10000_A10000000_T100_nodes4_ppn4_ranks16.log
SugarScape10k10m,10000,10000,10000000,100,4,6,24,4,4707.000,40650.250,45357.750,4577881,358577186,163384497,OK,sugarscapeRawLogs_10k_10m/SugarScape10k10m_H10000_W10000_A10000000_T100_nodes4_ppn6_ranks24.log
SugarScape10k10m,10000,10000,10000000,100,8,1,8,3,2971.667,46954.667,49926.667,4577881,358577186,163384497,PARTIAL_FAIL,sugarscapeRawLogs_10k_10m/SugarScape10k10m_H10000_W10000_A10000000_T100_nodes8_ppn1_ranks8.log
SugarScape10k10m,10000,10000,10000000,100,8,2,16,4,3166.000,38993.000,42159.500,4577881,358577186,163384497,OK,sugarscapeRawLogs_10k_10m/SugarScape10k10m_H10000_W10000_A10000000_T100_nodes8_ppn2_ranks16.log
SugarScape10k10m,10000,10000,10000000,100,8,4,32,3,6995.333,33354.333,40350.333,4577881,358577186,163384497,PARTIAL_FAIL,sugarscapeRawLogs_10k_10m/SugarScape10k10m_H10000_W10000_A10000000_T100_nodes8_ppn4_ranks32.log
SugarScape10k10m,10000,10000,10000000,100,8,6,48,3,10776.000,33359.333,44135.667,4577881,358577186,163384497,PARTIAL_FAIL,sugarscapeRawLogs_10k_10m/SugarScape10k10m_H10000_W10000_A10000000_T100_nodes8_ppn6_ranks48.log
SugarScape10k10m,10000,10000,10000000,100,16,1,16,4,3161.250,27507.750,30669.750,4577881,358577186,163384497,OK,sugarscapeRawLogs_10k_10m/SugarScape10k10m_H10000_W10000_A10000000_T100_nodes16_ppn1_ranks16.log
SugarScape10k10m,10000,10000,10000000,100,16,2,32,4,5337.750,26882.000,32220.250,4577881,358577186,163384497,OK,sugarscapeRawLogs_10k_10m/SugarScape10k10m_H10000_W10000_A10000000_T100_nodes16_ppn2_ranks32.log
SugarScape10k10m,10000,10000,10000000,100,16,4,64,1,12415.000,27188.000,39604.000,4577881,358577186,163384497,PARTIAL_FAIL,sugarscapeRawLogs_10k_10m/SugarScape10k10m_H10000_W10000_A10000000_T100_nodes16_ppn4_ranks64.log
SugarScape10k10m,10000,10000,10000000,100,16,6,96,0,,,,,,,FAIL,sugarscapeRawLogs_10k_10m/SugarScape10k10m_H10000_W10000_A10000000_T100_nodes16_ppn6_ranks96.log
SugarScape10k10m,10000,10000,10000000,100,24,1,24,4,4652.750,20688.250,25341.500,4577881,358577186,163384497,OK,sugarscapeRawLogs_10k_10m/SugarScape10k10m_H10000_W10000_A10000000_T100_nodes24_ppn1_ranks24.log
SugarScape10k10m,10000,10000,10000000,100,24,2,48,4,6013.000,17986.000,23999.500,4577881,358577186,163384497,OK,sugarscapeRawLogs_10k_10m/SugarScape10k10m_H10000_W10000_A10000000_T100_nodes24_ppn2_ranks48.log
SugarScape10k10m,10000,10000,10000000,100,24,4,96,0,,,,,,,FAIL,sugarscapeRawLogs_10k_10m/SugarScape10k10m_H10000_W10000_A10000000_T100_nodes24_ppn4_ranks96.log
SugarScape10k10m,10000,10000,10000000,100,24,6,144,0,,,,,,,FAIL,sugarscapeRawLogs_10k_10m/SugarScape10k10m_H10000_W10000_A10000000_T100_nodes24_ppn6_ranks144.log
