metric,value
formats.c-header.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/SugarScape/PM2/pm2sugarscape.h.lines,623
formats.c-header.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/SugarScape/PM2/pm2sugarscape.h.tokens,4124
formats.c-header.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/SugarScape/PM2/pm2sugarscape.h.sources,1
formats.c-header.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/SugarScape/PM2/pm2sugarscape.h.clones,0
formats.c-header.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/SugarScape/PM2/pm2sugarscape.h.duplicatedLines,0
formats.c-header.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/SugarScape/PM2/pm2sugarscape.h.duplicatedTokens,0
formats.c-header.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/SugarScape/PM2/pm2sugarscape.h.percentage,0
formats.c-header.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/SugarScape/PM2/pm2sugarscape.h.percentageTokens,0
formats.c-header.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/SugarScape/PM2/pm2sugarscape.h.newDuplicatedLines,0
formats.c-header.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/SugarScape/PM2/pm2sugarscape.h.newClones,0
formats.c-header.total.lines,623
formats.c-header.total.tokens,4124
formats.c-header.total.sources,1
formats.c-header.total.clones,0
formats.c-header.total.duplicatedLines,0
formats.c-header.total.duplicatedTokens,0
formats.c-header.total.percentage,0
formats.c-header.total.percentageTokens,0
formats.c-header.total.newDuplicatedLines,0
formats.c-header.total.newClones,0
total.lines,623
total.tokens,4124
total.sources,1
total.clones,0
total.duplicatedLines,0
total.duplicatedTokens,0
total.percentage,0
total.percentageTokens,0
total.newDuplicatedLines,0
total.newClones,0
